20:51:24.418 [ApplicationImpl pooled thread 126] INFO  c.b.l.BrowserStackRunExtension - application
20:51:24.418 [ApplicationImpl pooled thread 126] INFO  com.browserstack.utils.Helpers - null
20:55:20.205 [ApplicationImpl pooled thread 129] INFO  c.b.l.BrowserStackRunExtension - application
20:55:20.206 [ApplicationImpl pooled thread 129] INFO  com.browserstack.utils.Helpers - null
20:59:11.660 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - application
20:59:11.660 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
20:59:48.591 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - application
20:59:48.592 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
21:10:51.681 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - application
21:10:51.681 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
21:13:16.515 [ApplicationImpl pooled thread 141] INFO  c.b.l.BrowserStackRunExtension - application
21:13:16.515 [ApplicationImpl pooled thread 141] INFO  com.browserstack.utils.Helpers - null
21:16:38.250 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - application
21:16:38.250 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
